"year_rect","species","n_recs","min_start","max_start","earliest_end","latest_end","mean_start","mean_end","median_start","median_end","range_start","range_end"
1940,"Rubus spectabilis",2,110,110,112,146,110,129,110,129,0,34
1941,"Acer platanoides",1,117,117,117,117,117,117,117,117,0,0
1941,"Acer rubrum",1,96,96,113,113,96,113,96,113,0,0
1941,"Ilex decidua",1,104,104,104,104,104,104,104,104,0,0
1941,"Rubus laciniatus",2,163,163,163,188,163,175.5,163,175.5,0,25
1941,"Rubus spectabilis",2,33,109,98,165,71,131.5,71,131.5,76,67
1942,"Acer platanoides",1,109,109,109,109,109,109,109,109,0,0
1942,"Acer rubrum",1,108,108,108,108,108,108,108,108,0,0
1942,"Ilex decidua",1,136,136,136,136,136,136,136,136,0,0
1942,"Juglans nigra",2,128,145,132,145,136.5,138.5,136.5,138.5,17,13
1942,"Rubus spectabilis",2,178,179,178,179,178.5,178.5,178.5,178.5,1,1
1943,"Acer platanoides",1,122,122,122,122,122,122,122,122,0,0
1943,"Acer rubrum",1,86,86,86,86,86,86,86,86,0,0
1943,"Rubus laciniatus",1,190,190,190,190,190,190,190,190,0,0
1943,"Rubus spectabilis",1,221,221,221,221,221,221,221,221,0,0
1944,"Ilex decidua",1,86,86,121,121,86,121,86,121,0,0
1944,"Juglans nigra",1,129,129,129,129,129,129,129,129,0,0
1944,"Rubus laciniatus",1,171,171,171,171,171,171,171,171,0,0
1945,"Acer rubrum",1,84,84,84,84,84,84,84,84,0,0
1945,"Rubus laciniatus",2,194,194,194,194,194,194,194,194,0,0
1946,"Acer platanoides",1,112,112,112,112,112,112,112,112,0,0
1946,"Acer rubrum",1,12,12,12,12,12,12,12,12,0,0
1946,"Ilex decidua",1,98,98,98,98,98,98,98,98,0,0
1946,"Juglans nigra",1,181,181,181,181,181,181,181,181,0,0
1946,"Rubus laciniatus",1,238,238,238,238,238,238,238,238,0,0
1946,"Rubus spectabilis",1,153,153,153,153,153,153,153,153,0,0
1947,"Acer platanoides",1,143,143,145,145,143,145,143,145,0,0
1947,"Acer rubrum",2,109,110,109,110,109.5,109.5,109.5,109.5,1,1
1947,"Ilex decidua",1,112,112,118,118,112,118,112,118,0,0
1947,"Rubus laciniatus",1,216,216,216,216,216,216,216,216,0,0
1947,"Rubus spectabilis",2,113,114,171,198,113.5,184.5,113.5,184.5,1,27
1948,"Acer platanoides",1,95,95,95,95,95,95,95,95,0,0
1948,"Acer rubrum",1,84,84,84,84,84,84,84,84,0,0
1948,"Ilex decidua",1,99,99,101,101,99,101,99,101,0,0
1948,"Juglans nigra",1,123,123,123,123,123,123,123,123,0,0
1948,"Rubus laciniatus",2,215,237,237,237,226,237,226,237,22,0
1948,"Rubus spectabilis",3,80,122,136,200,102.666666666667,173.666666666667,106,185,42,64
1949,"Acer rubrum",1,51,51,106,106,51,106,51,106,0,0
1949,"Rubus laciniatus",2,163,222,163,222,192.5,192.5,192.5,192.5,59,59
1949,"Rubus spectabilis",2,93,131,93,131,112,112,112,112,38,38
1950,"Acer platanoides",1,111,111,143,143,111,143,111,143,0,0
1950,"Acer rubrum",1,57,57,57,57,57,57,57,57,0,0
1950,"Ilex decidua",1,106,106,106,106,106,106,106,106,0,0
1950,"Rubus laciniatus",1,174,174,174,174,174,174,174,174,0,0
1950,"Rubus spectabilis",3,85,145,86,225,105.333333333333,152,86,145,60,139
1951,"Acer platanoides",1,111,111,111,111,111,111,111,111,0,0
1951,"Acer rubrum",1,119,119,119,119,119,119,119,119,0,0
1951,"Ilex decidua",2,108,109,108,109,108.5,108.5,108.5,108.5,1,1
1951,"Juglans nigra",1,106,106,126,126,106,126,106,126,0,0
1951,"Rubus laciniatus",1,136,136,156,156,136,156,136,156,0,0
1951,"Rubus spectabilis",1,172,172,172,172,172,172,172,172,0,0
1952,"Acer platanoides",1,96,96,109,109,96,109,96,109,0,0
1952,"Acer rubrum",3,71,126,71,126,89.3333333333333,99.6666666666667,71,102,55,55
1952,"Ilex decidua",1,118,118,118,118,118,118,118,118,0,0
1952,"Juglans nigra",1,132,132,132,132,132,132,132,132,0,0
1952,"Rubus spectabilis",2,111,111,114,114,111,114,111,114,0,0
1953,"Acer rubrum",2,124,176,133,176,150,154.5,150,154.5,52,43
1953,"Ilex decidua",3,104,131,104,161,114,124,107,107,27,57
1953,"Juglans nigra",2,130,142,130,142,136,136,136,136,12,12
1953,"Rubus spectabilis",1,182,182,182,182,182,182,182,182,0,0
1954,"Acer rubrum",1,99,99,142,142,99,142,99,142,0,0
1954,"Ilex decidua",1,113,113,113,113,113,113,113,113,0,0
1954,"Rubus laciniatus",2,209,210,209,210,209.5,209.5,209.5,209.5,1,1
1954,"Rubus spectabilis",2,99,100,99,170,99.5,134.5,99.5,134.5,1,71
1955,"Acer platanoides",1,105,105,119,119,105,119,105,119,0,0
1955,"Acer rubrum",1,69,69,162,162,69,162,69,162,0,0
1955,"Juglans nigra",1,120,120,121,121,120,121,120,121,0,0
1955,"Rubus laciniatus",3,121,248,121,248,183.333333333333,183.333333333333,181,181,127,127
1955,"Rubus spectabilis",2,78,135,78,135,106.5,106.5,106.5,106.5,57,57
1956,"Acer platanoides",1,133,133,133,133,133,133,133,133,0,0
1956,"Acer rubrum",1,50,50,133,133,50,133,50,133,0,0
1956,"Ilex decidua",1,74,74,87,87,74,87,74,87,0,0
1956,"Juglans nigra",1,126,126,126,126,126,126,126,126,0,0
1956,"Rubus laciniatus",1,207,207,207,207,207,207,207,207,0,0
1956,"Rubus spectabilis",1,93,93,93,93,93,93,93,93,0,0
1957,"Acer platanoides",1,104,104,262,262,104,262,104,262,0,0
1957,"Acer rubrum",3,12,268,12,269,97.3333333333333,183,12,268,256,257
1957,"Ilex decidua",1,125,125,125,125,125,125,125,125,0,0
1957,"Rubus spectabilis",2,96,118,118,119,107,118.5,107,118.5,22,1
1958,"Acer platanoides",1,109,109,137,137,109,137,109,137,0,0
1958,"Acer rubrum",3,62,135,115,136,104,128.666666666667,115,135,73,21
1958,"Ilex decidua",1,85,85,131,131,85,131,85,131,0,0
1958,"Juglans nigra",1,131,131,132,132,131,132,131,132,0,0
1958,"Rubus laciniatus",1,182,182,182,182,182,182,182,182,0,0
1959,"Acer rubrum",1,54,54,95,95,54,95,54,95,0,0
1959,"Ilex decidua",1,263,263,263,263,263,263,263,263,0,0
1959,"Juglans nigra",1,152,152,152,152,152,152,152,152,0,0
1959,"Rubus spectabilis",3,123,157,123,157,134.666666666667,142.666666666667,124,148,34,34
1960,"Acer rubrum",1,97,97,107,107,97,107,97,107,0,0
1960,"Juglans nigra",1,132,132,132,132,132,132,132,132,0,0
1960,"Rubus laciniatus",3,158,239,158,239,189.333333333333,189.333333333333,171,171,81,81
1960,"Rubus spectabilis",1,86,86,86,86,86,86,86,86,0,0
1961,"Acer rubrum",2,31,112,31,120,71.5,75.5,71.5,75.5,81,89
1961,"Rubus spectabilis",1,135,135,135,135,135,135,135,135,0,0
1962,"Acer platanoides",1,118,118,122,122,118,122,118,122,0,0
1962,"Acer rubrum",1,41,41,116,116,41,116,41,116,0,0
1962,"Ilex decidua",1,112,112,112,112,112,112,112,112,0,0
1962,"Juglans nigra",2,117,130,130,133,123.5,131.5,123.5,131.5,13,3
1962,"Rubus laciniatus",1,199,199,199,199,199,199,199,199,0,0
1962,"Rubus spectabilis",1,49,49,111,111,49,111,49,111,0,0
1963,"Acer platanoides",1,100,100,100,100,100,100,100,100,0,0
1963,"Acer rubrum",2,69,123,123,124,96,123.5,96,123.5,54,1
1963,"Juglans nigra",1,129,129,159,159,129,159,129,159,0,0
1963,"Rubus laciniatus",2,169,169,169,169,169,169,169,169,0,0
1963,"Rubus spectabilis",2,55,61,114,146,58,130,58,130,6,32
1964,"Acer platanoides",1,118,118,129,129,118,129,118,129,0,0
1964,"Acer rubrum",1,73,73,103,103,73,103,73,103,0,0
1964,"Ilex decidua",1,91,91,144,144,91,144,91,144,0,0
1964,"Juglans nigra",1,115,115,142,142,115,142,115,142,0,0
1964,"Rubus laciniatus",4,163,192,163,192,172,177.5,166.5,177.5,29,29
1964,"Rubus spectabilis",2,96,141,141,169,118.5,155,118.5,155,45,28
1965,"Acer platanoides",1,123,123,123,123,123,123,123,123,0,0
1965,"Acer rubrum",2,67,97,98,116,82,107,82,107,30,18
1965,"Ilex decidua",1,105,105,123,123,105,123,105,123,0,0
1965,"Juglans nigra",1,103,103,139,139,103,139,103,139,0,0
1965,"Rubus laciniatus",2,201,211,211,220,206,215.5,206,215.5,10,9
1965,"Rubus spectabilis",2,74,115,115,132,94.5,123.5,94.5,123.5,41,17
1966,"Acer platanoides",1,110,110,129,129,110,129,110,129,0,0
1966,"Acer rubrum",1,66,66,137,137,66,137,66,137,0,0
1966,"Ilex decidua",1,100,100,103,103,100,103,100,103,0,0
1966,"Juglans nigra",2,124,134,134,153,129,143.5,129,143.5,10,19
